"LAG","ACF","PACF"
0,1,0
1,-0.00037788393947525,-0.000377883939475251
2,0.138677342639317,0.138677219645635
3,0.0676200607700013,0.069045449718238
4,-0.10951212850035,-0.131187379223015
5,0.0594481424737521,0.0409698051785696
6,-0.058341005546682,-0.0288982641785944
7,0.0416794915974981,0.0447724750440419
8,0.0276802715728562,0.0204349519896582
9,-0.0809145314559758,-0.0798040949377475
10,0.0497204996696237,0.0264633540730351
11,-0.0334851050507124,0.00038688918310755
12,0.0369864494062667,0.038386510422416
13,0.137117204092794,0.127067647991123
14,0.0433361115067589,0.0508340695263062
15,-0.0440969522422514,-0.111560967561491
16,-0.0363173775034932,-0.0527249498867547
17,0.01923646257687,0.0671628089728904
18,-0.0659015137329907,-0.0471843530334986
19,-0.0142097816633015,-0.0286328389245924
20,0.0526957672470577,0.051898968657836
