Date,Close
20130918,474.3
20130919,476.1
20130920,477.2
20130923,479.1
20130924,482.8
20130925,486.2
20130926,485.1
20130927,486.6
20130930,492.6
20131001,492.2
20131002,494.4
20131003,492.3
20131004,497.5
20131007,500.5
20131008,502.2
20131009,500.7
20131010,494.8
20131011,494.5
20131014,493.6
20131015,495.7
20131016,499
20131017,499.6
20131018,500.8
20131021,501.6
20131022,500.6
20131023,504.1
20131024,501.2
20131025,500.8
20131028,496.5
20131029,497.1
20131030,499.1
20131031,497.4
20131101,497.1
20131104,497.1
20131105,499.8
20131106,502.5
20131107,499.9
20131108,498.6
20131111,501.1
20131112,497.6
20131113,496.1
20131114,497.9
20131115,501.3
20131118,506.5
20131119,504.7
20131120,505.5
20131121,503.5
20131122,505.6
20131125,506.5
20131126,509.2
20131127,508.4
20131128,507.7
20131129,507.8
20131202,508.5
20131203,511.6
20131204,510.9
20131205,510
20131206,510.1
20131209,511.2
20131210,511.6
20131211,505.3
20131212,506.9
20131213,506.1
20131216,502
20131217,505.7
20131218,505.2
20131219,506.3
20131220,504.4
20131223,508.7
20131224,505.6
20131225,504.4
20131226,506.6
20131227,506.4
20131230,500.4
20131231,504.6
20140102,504.5
20140103,505.4
20140106,509.1
20140107,510.1
20140108,513.9
20140109,517
20140110,518.9
20140113,521.1
20140114,522.3
20140115,526.7
20140116,533.5
20140117,543.6
20140120,553.7
20140121,559.9
20140122,551.9
20140123,553.5
20140124,560.2
20140127,556.5
20140206,554.7
20140207,549.8
20140210,555.9
20140211,553.9
20140212,564.2
20140213,570.2
20140214,572.2
20140217,570.2
20140218,574.6
20140219,578.1
20140220,571
20140221,570.6
20140224,576.6
20140225,586.2
20140226,589.8
20140227,584.8
20140228,586.5
20140303,573.4
20140304,570
20140305,574.9
20140306,578.6
20140307,579.8
20140310,583.7
20140311,588.5
20140312,590
20140313,595.2
20140314,596.8
20140317,600.4
20140318,599.9
20140319,605.6
20140320,600.3
20140321,601.8
20140324,607.5
20140325,601.9
20140326,588.1
20140327,590.1
20140328,594.3
20140331,591.6
20140401,583.9
20140402,581.7
20140403,589.4
20140404,593
20140407,600.6
20140408,603.2
20140410,601.3
20140411,600.6
20140414,596.1
20140415,586.1
20140416,574.3
20140417,580.3
20140418,565.3
20140421,558.1
20140422,569.9
20140423,569.4
20140424,570.5
20140425,578.9
20140428,573.1
20140429,578
20140505,564.9
20140506,555.1
20140507,560
20140508,527.1
20140509,542.5
20140512,517
20140513,513.9
20140514,529.5
20140515,524
20140516,529.5
20140519,533
20140520,537.5
20140521,543.9
20140522,541.7
20140523,541.5
20140526,544.1
20140527,552.8
20140528,557.3
20140529,558.5
20140530,562
20140602,556.8
20140603,558.8
20140604,553.5
20140605,551.1
20140606,559
20140609,565.6
20140610,566.9
20140611,570.4
20140612,573.8
20140613,574.5
20140616,572.4
20140617,572.2
20140618,570
20140619,567.4
20140620,560.8
20140623,565.9
20140624,569.7
20140625,572.3
20140626,576.4
20140627,578.8
20140630,578.1
20140701,578.1
20140702,578.8
20140703,585
20140704,589.4
20140707,590.7
20140708,591.5
20140709,591.6
20140710,584.9
20140711,582.8
20140714,586.2
20140715,589.3
20140716,589.7
20140717,590.4
20140718,596.3
20140721,601
20140722,598
20140723,597.5
20140724,602.1
20140725,600.1
20140728,589.5
20140729,592.2
20140730,589.3
20140731,596.1
20140801,593.9
20140804,599
20140805,607.7
20140806,606.7
20140807,607.6
20140808,605.4
20140811,602.1
20140812,601.8
20140813,602.8
20140814,605.2
20140815,604.2
20140818,605.1
20140819,604.6
20140820,606.7
20140821,612.9
20140822,620.1
20140825,625.9
20140826,629.1
20140827,628.8
20140828,632
20140829,636.6
20140903,640.8
20140904,640.2
20140905,638.6
20140908,639.9
20140909,626.9
20140910,628.8
20140911,629
20140912,632.5
20140915,630.3
20140916,627.7
20140917,625.7
20140918,615.8
20140919,613.3
20140922,611.9
20140923,610.4
20140924,603.6
20140925,605.1
20140926,605
20140929,599.8
20140930,598.8
20141001,609.3
20141002,612.7
20141003,611.5
20141006,614.4
20141007,614.1
20141008,617.3
20141009,624.3
20141010,617.7
20141013,614.2
20141014,605.8
20141015,604.3
20141016,587.2
20141017,585.3
20141020,589.2
20141021,600.5
20141022,601.6
20141023,593.5
20141024,591.5
20141027,580.8
20141028,583.1
20141029,591.2
20141030,589.1
20141031,600.8
20141103,603.1
20141104,598.4
20141105,597
20141106,597.9
20141107,602.6
20141110,602.1
20141111,604.2
20141112,604
20141113,603.2
20141114,600.4
20141117,600.9
20141118,594.2
20141119,588.4
20141120,593.3
20141121,588
20141124,582.5
20141125,585.9
20141126,576
20141127,572.9
20141128,566.6
20141201,568
20141202,569.4
20141203,574.9
20141204,578.4
20141205,578.8
20141208,571.7
20141209,555.3
20141210,557.2
20141211,550.1
20141212,553.9
20141215,547.9
20141216,535.1
20141217,518.2
20141218,528.5
20141219,523.1
20141222,537.5
20141223,537.9
20141224,539.4
20141225,532
20141226,533.4
20141229,532.7
20141230,537.6
20141231,545.6
20150105,544.5
20150106,549.7
20150107,552
20150108,553.5
20150109,569.7
20150112,574.3
20150113,580.6
20150114,577
20150115,577.7
20150116,574.8
20150119,571.5
20150120,572.2
20150121,569.1
20150122,574.5
20150123,582.4
20150126,580.6
20150127,579.3
20150128,583.8
20150129,583.3
20150130,576.1
20150202,570.4
20150203,557.5
20150204,561.5
20150205,567.2
20150206,574.1
20150209,573.5
20150210,574.5
20150211,581.8
20150212,584.7
20150213,587.2
20150224,597
20150225,592.7
20150226,596.7
20150227,592.6
20150302,590.7
20150303,596.7
20150304,600.4
20150305,596.9
20150306,594
20150309,588.4
20150310,589.7
20150311,586.5
20150312,588.5
20150313,586.1
20150316,580.8
20150317,581.8
20150318,578.7
20150319,573.7
20150320,575.4
20150323,570.9
20150324,567.4
20150325,560.9
20150326,556.2
20150327,551.4
20150330,545.2
20150331,551.1
20150401,538.9
20150402,546.9
20150403,547.9
20150406,543
